Id,TitleRomaji,TitleEnglish,TitleJapanese,DemographicType,Type,PublishingStatus,TotalVolumes,MainImageUrl,Synopsis
33,Pandora Hearts,Pandora Hearts,PandoraHearts,Shounen,Manga,Finished,24,https://cdn.myanimelist.net/images/manga/2/169004l.jpg,"Reminiscent of a broken toy box, the mystical Abyss is a terrifying realm home to monstrous creatures called Chains. Most believe it to be only a fairy tale, used to scare children who misbehave. Oz Vessalius, the cheerful and mischievous heir of the noble Vessalius family, is one such individual—until, at his coming-of-age ceremony, the mysterious Baskerville Clan arrives and condemns him to the Abyss for a sin he neither committed nor knows anything about. Oz then forms a contract with Alice, a unique Chain who can take on human form, in an attempt to escape from the Abyss.

As Oz struggles to unravel the mysteries behind his sin, the Abyss, and a tragedy from one hundred years ago, he and his companions find themselves confronted by the Baskervilles and ghosts from the past. Meanwhile, his journey back home is plagued by relentless despair."
34,Fruits Basket,Fruits Basket,フルーツバスケット,Shoujo,Manga,Finished,23,https://cdn.myanimelist.net/images/manga/3/269697l.jpg,"Tooru Honda is an orphan with nowhere to go but a tent in the woods, until the Souma family takes her in. However, the Souma family is no ordinary family, and they hide a grave secret: when they are hugged by someone of the opposite gender, they turn into animals from the Chinese zodiac!

Now, Tooru must help Kyou and Yuki Souma hide their curse from their classmates, as well as her friends Arisa Uotani and Saki Hanajima. As she is drawn further into the mysterious world of the Soumas, she meets more of the family, forging friendships along the way.

But this curse has caused much suffering; it has broken many Soumas. Despite this, Tooru may just be able to heal their hearts and soothe their souls."
35,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,JoJo's Bizarre Adventure Part 4: Diamond Is Unbreakable,ジョジョの奇妙な冒険 ダイヤモンドは砕けない,Shounen,Manga,Finished,18,https://cdn.myanimelist.net/images/manga/3/269910l.jpg,"In 1999, Joutarou Kuujou arrives at the Japanese town of Morioh for two reasons: to meet his illegitimate uncle Jousuke Higashikata and investigate a potentially dangerous Stand user. Only minutes after he arrives does he accomplish his first goal; however, Joutarou finds that Jousuke is not only a much younger high school student, but he possesses a Stand of his own called Crazy Diamond. Not long after their meeting, the two make a startling discovery: someone is using a supernatural bow and arrow to create Stand users around Morioh.

When Jousuke witnesses the threat that this poses, he resolves to protect his town and stop the spread of lethal Stand users. Finding both allies and enemies among these users, Jousuke learns just how much one's personal interests and ambitions can be reflected in their Stands, and the resulting harm or virtue it brings. As they continue to investigate, they begin to unearth the shocking history of Morioh, bringing forth hidden dangers and a mystery from years past."
36,Akira,Akira,AKIRA,Seinen,Manga,Finished,6,https://cdn.myanimelist.net/images/manga/3/271629l.jpg,"1988: It is World War III. Tokyo is decimated by a mysterious black explosion, unmatched in magnitude.

2019: Fast forward 31 years. Neo-Tokyo, hastily built on the ruins of old Tokyo, is a sprawling cityscape of neon extravaganza. It is a fusion of towering skyscrapers and cutting-edge technology that is permeated through and through with an explosive, hyper-violent cocktail of biker gangs, poverty, and revolutionaries. In this derelict metropolis live Tetsuo Shima and Shoutarou Kaneda, two bikers who are the best of friends and the fiercest of rivals, despite being affiliated with the same gang. Desperate to prove himself as Kaneda's equal, Tetsuo unwittingly pulls a stunt that culminates in the awakening of a cryptic existence that threatens to change both the face of Neo-Tokyo and the lives of those who call the city their home—the awakening of a government secret simply known as Akira."
37,Horimiya,Horimiya,ホリミヤ,Shounen,Manga,Finished,17,https://cdn.myanimelist.net/images/manga/2/245008l.jpg,"Although admired at school for her amiability and academic prowess, high school student Kyouko Hori has been hiding another side of her. With her parents often away from home due to work, Hori has to look after her younger brother and do the housework, leaving no chance to socialize away from school.

Meanwhile, Izumi Miyamura is seen as a brooding, glasses-wearing otaku. However, in reality, he is a gentle person inept at studying. Furthermore, he has nine piercings hidden behind his long hair and a tattoo along his back and left shoulder.

By sheer chance, Hori and Miyamura cross paths outside of school—neither looking as the other expects. These seemingly polar opposites become friends, sharing with each other a side they have never shown to anyone else."
38,Neon Genesis Evangelion,Neon Genesis Evangelion,新世紀エヴァンゲリオン,Seinen,Manga,Finished,14,https://cdn.myanimelist.net/images/manga/1/145061l.jpg,"In 1999, a meteorite crashed into Antarctica. The impact melted the continental ice mass and drastically raised sea levels, damaging the world's climate and causing the deaths of over half its population. Now in 2015, devastating creatures of unknown origin—referred to as ""Angels""—ravage what remains of the planet. 

In the heavily fortified city of Tokyo-3, 14-year-old Shinji Ikari is destined to halt the Angels' onslaught. Recruited by his father's secret organization NERV, Shinji is enlisted as a pilot of an Evangelion, a massive bioorganic android created solely to defeat the Angels.

Suddenly with the weight of the world upon his shoulders, Shinji must find the courage and drive to stand up for the future—and himself. But as skirmishes between the Evangelions and Angels become recurrent, the horrifying truth of the world is slowly revealed."
39,Pluto,Pluto: Urasawa x Tezuka,PLUTO,Seinen,Manga,Finished,8,https://cdn.myanimelist.net/images/manga/1/264496l.jpg,"Famous for his military service in the 39th Asian War, the legendary Swiss robot Montblanc is violently murdered. Humans and robots around the world mourn for the beloved celebrity. Montblanc's popularity only grew in the years following the war, thanks to his dedication to nature conservation and his loving personality.

Once a fellow war veteran, robotic Europol detective Gesicht is sent to investigate Montblanc's tragic demise. In his pursuit, Gesicht uncovers evidence of a mysterious entity known only as ""Pluto."" He also learns of a conspiratorial plot to dismantle the eight specialized robots from around the world who participated in the war. Racing against time to save those who still remain, Gesicht grapples with his memory, morality, and a world full of hate, desperately attempting to defend the fragile coexistence of man and machine."
40,Watashitachi no Shiawase na Jikan,,私たちの幸せな時間,Seinen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/66993l.jpg,"They wanted to die for their own reasons.

Juri Mutou is the daughter of a once-famous pianist whose career came to an end after giving birth to her. After a traumatic event she experienced as a teenager, Juri has attempted suicide three times and has come to hate her mother. With her life clouded due to a dark past, her aunt Monica, a member of the clergy, invites her to visit a convict sentenced to death.

Yuu is a death row inmate charged with murdering three people, leading to many attempts at ending his own life within his jail cell. He frequently receives letters from Monica, who hopes to help him, but sees this as an act of pity. But when Yuu decides to meet Monica to say that he wants her to stop sending letters, he encounters Juri, a meeting that would change both of their lives."
41,Rurouni Kenshin: Meiji Kenkaku Romantan,Rurouni Kenshin: Meiji Swordsman Romantic Story,るろうに剣心 -明治剣客浪漫譚-,Shounen,Manga,Finished,28,https://cdn.myanimelist.net/images/manga/2/127583l.jpg,"Ten years have passed since the end of Bakumatsu, an era of war that saw the uprising of citizens against the Tokugawa shogunate. The revolutionaries wanted to create a time of peace, and a thriving country free from oppression. The new age of Meiji has come, but peace has not yet been achieved. Swords are banned but people are still murdered in the streets. Orphans of war veterans are left with nowhere to go, while the government seems content to just line their pockets with money.

One wandering samurai, Kenshin Himura, still works to make sure the values he fought for are worth the lives spent to bring about the new era. Once known as Hitokiri Battousai, he was feared as the most ruthless killer of all the revolutionaries. Now haunted by guilt, Kenshin has sworn never to kill again in atonement for the lives he took, and he may never know peace until killing is a thing of the past.

Now in the 11th year of Meiji, Kenshin stumbles upon Kaoru Kamiya, owner and head instructor of a small dojo being threatened to close its doors. The police force is powerless to stop the string of murders done in the name of her dojo by a man claiming to be the famous Battousai. Kenshin's wanderings pause for now as he joins Kaoru to clear both their names. But how long can he stay before his past catches up to him?"
42,Hajime no Ippo,,はじめの一歩,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/250313l.jpg,"Makunouchi Ippo is a 16-year-old high school student who helps his mother run the family business. His hefty workload impedes on his social life, making him an easy target for bullies. One day, while being beaten up by a group of high school students, Ippo is saved by a boxer named Mamoru Takamura, and is brought to the Kamogawa Boxing Gym. 

This afterschool bullying session turns his life around for the better as Ippo discovers his latent talent for boxing and decides to practice the sport professionally. However, Mamoru doubts Ippo's determination and assigns him a task deemed impossible to complete, but the resolute Ippo trains tirelessly to fulfill his mission. Along the way, he finds out what it means to attain true strength while making new friends and fighting formidable foes."
43,JoJo no Kimyou na Bouken Part 8: JoJolion,,ジョジョの奇妙な冒険 Part8 ジョジョリオン,Seinen,Manga,Finished,27,https://cdn.myanimelist.net/images/manga/1/179885l.jpg,"In 2011, childhood friends Yasuho Hirose and Joushuu Higashikata discover a naked man buried in the ground just outside the town of Morioh. The man has no memory of his name or previous life; the only thing he remembers about himself is how to use his Stand, a supernatural ability that takes the form of a humanoid creature. The stranger is quickly given a name, Jousuke, and Joushuu's father Norisuke decides to adopt him into the Higashikata household until he can find his own home.

As Jousuke begins to investigate his past, it becomes apparent that he is no ordinary amnesiac. There is much more to his identity than he first suspected, and, as he is thrust into a series of high-stakes Stand battles, he soon begins unravelling a deadly conspiracy that encompasses the entire town."
44,Gintama,Gin Tama,銀魂,Shounen,Manga,Finished,77,https://cdn.myanimelist.net/images/manga/3/267795l.jpg,"During the Edo period, Japan is suddenly invaded by alien creatures known as the ""Amanto."" Despite the samurai's attempts to combat the extraterrestrial menace, the Shogun soon realizes that their efforts are futile and decides to surrender. This marks the beginning of an uneasy agreement between the Shogunate and Amanto, one that results in a countrywide sword ban and the disappearance of the samurai spirit.

However, there exists one eccentric individual who wields a wooden sword and refuses to let his samurai status die. Now that his kind are no longer needed, Gintoki Sakata performs various odd jobs around town in order to make ends meet. Joined by his self-proclaimed disciple Shinpachi Shimura, the fearsome alien Kagura, and a giant dog named Sadaharu, they run the business known as Yorozuya, often getting caught up in all sorts of crazy and hilarious shenanigans."
45,Ouran Koukou Host Club,Ouran High School Host Club,桜蘭高校ホスト部,Shoujo,Manga,Finished,18,https://cdn.myanimelist.net/images/manga/3/267782l.jpg,"At Ouran High School, an academy where only the children of the rich and powerful attend, there exists a club consisting of the most elite of the student body: the legendary Host Club. Within the club's room, six beautiful, bored boys spend their time entertaining equally beautiful and bored girls.

Haruhi Fujioka, a poor scholarship student, has no interest in the Host Club—until she breaks a valuable vase in their clubroom. After being mistaken for a boy, Haruhi is forced by Kyouya Ootori to work for the Host Club to repay her debt. Tamaki Suou, the princely leader of the club, eagerly takes her under his wing to teach her the ways of the host.

Things, however, are never quite so simple with the Host Club around. Even the most mundane events can turn into huge spectacles with the likes of prankster twins Hikaru and Kaoru Hitachiin, stoic Takashi Morinozuka, and sweet Mitsukuni ""Hunny"" Haninozuka. The crazy adventures of the Host Club are just beginning, and Haruhi must learn how to survive in the glitzy world of the hosts."
46,Dragon Ball,Dragon Ball,ドラゴンボール,Shounen,Manga,Finished,42,https://cdn.myanimelist.net/images/manga/1/267793l.jpg,"Bulma, a headstrong 16-year-old girl, is on a quest to find the mythical Dragon Balls—seven scattered magic orbs that grant the finder a single wish. She has but one desire in mind: a perfect boyfriend. On her journey, Bulma stumbles upon Gokuu Son, a powerful orphan who has only ever known one human besides her. Gokuu possesses one of the Dragon Balls, it being a memento from his late grandfather. In exchange for it, Bulma invites Gokuu to be a companion in her travels.

By Bulma's side, Gokuu discovers a world completely alien to him. Powerful enemies embark on their own pursuits of the Dragon Balls, pushing Gokuu beyond his limits in order to protect Bulma and their growing circle of allies. However, Gokuu has secrets unbeknownst to even himself; the incredible strength within him stems from a mysterious source, one that threatens the many people he grows to hold dear.

As his prowess in martial arts flourishes, Gokuu attracts stronger opponents whose villainous plans could collapse beneath his might. He undertakes the endless venture of combat training to defend his loved ones and the fate of the planet itself."
47,Blue Period,Blue Period,ブルーピリオド,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/204827l.jpg,"Second-year high school student Yatora Yaguchi is bored with his normal life. He studies well and plays around with his friends, but in truth, he does not enjoy either of those activities. Bound by norms, he secretly envies those who do things differently.

That is until he discovers the joy of drawing. When he sees a painting made by a member of the Art Club, Yatora becomes fascinated with the colors used in it. Later, in an art exercise, he tries to convey his language without words but instead through painting. After that experience, Yatora finds himself so invested in art that he decides that it is what he wants to do for a living. But there stand multiple obstacles in his way: his parents who are hesitant over his unique choices, his more experienced peers, and the study of a subject much deeper than he initially expected."
48,Skip Beat!,Skip Beat!,スキップ・ビート!,Shoujo,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/255389l.jpg,"Sixteen-year-old Kyouko Mogami followed her childhood friend and love interest Shoutarou ""Shou"" Fuwa to Tokyo to support him while he works toward his dream of becoming a top idol in the entertainment industry. But after finding out that Shou considers her as little more than a mere housekeeper, she swears to enact revenge by entering the entertainment industry herself and beating him at his own game!

However, Kyouko's revenge plan suffers a setback almost immediately when she is rejected by the talent agency of her choice. Fortunately, the president of the agency gives her a second chance, and places her in the newly made ""Love Me"" section. Kyouko then begins her long journey to stardom, cultivating her skills as an actress and forming relationships with new friends along the way."
