Id,Title,DemographicType,Type,PublishingStatus,TotalVolumes,MainImageUrl
15602,Koibito wa Dannasama,Josei,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/206409l.jpg
15603,Yukiake no Wonder,Seinen,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/3/230576l.jpg
15604,Ochitara Owari,Josei,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/226691l.jpg
15605,Stalker Joukadan,Seinen,Manga,Finished,7,https://cdn.myanimelist.net/images/manga/2/235921l.jpg
15606,Cake Cake Cake,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/262203l.jpg
15607,Houkago Kindan no Lesson,Shoujo,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/4649l.jpg
15608,Neko Kappa,Seinen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/21077l.jpg
15609,To Heart 2 SD ~Seitokai Days~,Seinen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/2/34939l.jpg
15610,San P,Seinen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/159436l.jpg
15611,Tatakae! Tarantella,Shounen,Manga,Finished,4,https://cdn.myanimelist.net/images/manga/1/263739l.jpg
15612,9-banme no Musashi: Mission Blue,Shoujo,Manga,Finished,8,https://cdn.myanimelist.net/images/manga/1/147773l.jpg
15613,Shukufuku no Kuro to Hametsu no Shiro - Dragon Kishidan II,Shoujo,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/149511l.jpg
15614,Sengoku Basara Dokugan,Seinen,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/2/192231l.jpg
15615,Uresugi!! Tsuyasugi!? Buchou-chan,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/211226l.jpg
15616,Saigo no Yuuransen,Seinen,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/1/242689l.jpg
15617,Akogare,Shoujo,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/1/12807l.jpg
15618,Megane Otoko na Kare,Shoujo,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/14688l.jpg
15619,Oni Ga Kitarite,Shounen,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/2/177666l.jpg
15620,Sasanaki,Shounen,Manga,Finished,4,https://cdn.myanimelist.net/images/manga/1/202518l.jpg
15621,Tokkou Tennyo,Shounen,Manga,Finished,30,https://cdn.myanimelist.net/images/manga/1/32161l.jpg
15622,Eleven,Shounen,Manga,Finished,43,https://cdn.myanimelist.net/images/manga/1/131451l.jpg
15623,Happa 64,Seinen,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/3/44703l.jpg
15624,Moe-tai,Seinen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/138171l.jpg
15625,Koufuku Daibu,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/46147l.jpg
15626,Nobelu,Shounen,Manga,Finished,8,https://cdn.myanimelist.net/images/manga/1/195926l.jpg
15627,Kurenai Sanshirou,Shounen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/147115l.jpg
15628,Cat Shit One JP,Seinen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/2/131907l.jpg
15629,Nekogoze,Seinen,Manga,Finished,4,https://cdn.myanimelist.net/images/manga/1/152444l.jpg
15630,Kidou Senshi Gundam: Zero no Kyuu Zaku,Shounen,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/3/147397l.jpg
15631,Soul Reviver South,Seinen,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/1/172136l.jpg
15632,Chikyuu Sensou: The War of the Human,Seinen,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/1/151508l.jpg
15633,Papa ni wa Himitsu nano desu ga,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/2/159835l.jpg
15634,YuReRururu,Shoujo,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/3/180533l.jpg
15635,Momo Musume,Seinen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/2/180672l.jpg
15636,Idol no Tamago wa Benkyouchuu,Seinen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/201998l.jpg
15637,Aijima-san wa Sameteiru!?,Seinen,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/1/232845l.jpg
15638,Ni no Kuni: Hikari no Koukeisha to Neko no Ouji,Shounen,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/3/242285l.jpg
15639,Tsuwamonogatari,Seinen,Manga,Finished,8,https://cdn.myanimelist.net/images/manga/1/259091l.jpg
15640,Ojousama to Zubora Meshi,Shounen,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/1/271295l.jpg
15641,Glitch,Seinen,Manga,Finished,4,https://cdn.myanimelist.net/images/manga/3/279620l.jpg
15642,Puku Puku Tennen Kairanban,Shoujo,Manga,Finished,10,https://cdn.myanimelist.net/images/manga/3/183880l.jpg
15643,Shin Yoroiden Samurai Troopers,Shounen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/2/85551l.jpg
15644,P Angel,Shoujo,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/1/12380l.jpg
15645,Nico Says,Josei,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/95989l.jpg
15646,Dan Dan Aishite,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/7268l.jpg
15647,Nanatsu no Umi Nanatsu no Sora,Shoujo,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/5/92419l.jpg
15648,Joouari,Seinen,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/1/13564l.jpg
15649,Watashi no Kareshi,Josei,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/2/15228l.jpg
15650,Haruka Tooki Kuni no Monogatari,Shoujo,Manga,Finished,16,https://cdn.myanimelist.net/images/manga/3/41627l.jpg
15651,Miagereba Tsuutenkaku,Seinen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/116289l.jpg
15652,Ai no Satsujinsha: Kawaki no Sei,Seinen,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/3/28151l.jpg
15653,Transformers: The Battle of Star Gate,Shounen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/35675l.jpg
15654,Jugai,Seinen,Manga,Finished,4,https://cdn.myanimelist.net/images/manga/2/37159l.jpg
15655,Toubou Bengoshi Narita Makoto,Seinen,Manga,Finished,6,https://cdn.myanimelist.net/images/manga/3/179705l.jpg
15656,Aitsu to Lullaby,Shounen,Manga,Finished,39,https://cdn.myanimelist.net/images/manga/1/183641l.jpg
15657,Saigo no Negai ~Last pray~,Shoujo,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/3/61525l.jpg
15658,Burai na Kaze: Tetsu,Seinen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/116285l.jpg
15659,Adam to Eve no Houteishiki,Shoujo,Manga,Finished,10,https://cdn.myanimelist.net/images/manga/1/78359l.jpg
15660,Taberu dake,Seinen,Manga,Finished,4,https://cdn.myanimelist.net/images/manga/3/104887l.jpg
15661,Saigo no Restaurant,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/112937l.jpg
15662,Tokyo Wonder Boys,Shounen,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/3/114373l.jpg
15663,Makoto no Kuni,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/262920l.jpg
15664,Yokubou Strawberry,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/134785l.jpg
15665,Maihime Renpuuden,Shoujo,LightNovel,Finished,4,https://cdn.myanimelist.net/images/manga/3/139997l.jpg
15666,Phantom Syndrome,Shoujo,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/2/161617l.jpg
15667,Okazaki ni Sasagu,Seinen,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/1/169513l.jpg
15668,Uchikomi!!,Shounen,Manga,Finished,7,https://cdn.myanimelist.net/images/manga/1/178608l.jpg
15669,Kobayashi Shounen to Futei no Kaijin,Shounen,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/1/203488l.jpg
15670,Change!,Seinen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/2/196517l.jpg
15671,Chousou no Babel,Seinen,Manga,Finished,4,https://cdn.myanimelist.net/images/manga/3/195745l.jpg
15672,Uramiya Honpo: Worst,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/205517l.jpg
15673,Shutokou SPL,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/230401l.jpg
15674,Ping Kong,Shounen,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/1/228466l.jpg
15675,Papa's Cooking!: Chichi to Yobeta Hi,Seinen,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/1/238194l.jpg
15676,Suki na Hito no Suki na Hito,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/240827l.jpg
15677,Siariz no Shugosha,Shoujo,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/1/251445l.jpg
15678,Luciole wa Yume wo Miru,Shoujo,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/275821l.jpg
15679,Maou 2099,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/254718l.jpg
15680,Shitsuji Kuroboshi wa Kashizukanai,Shoujo,Manga,Finished,11,https://cdn.myanimelist.net/images/manga/3/258275l.jpg
15681,Kachime ga Nai no wa Ore dake ka!,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/271853l.jpg
15682,Hatsujou suru Unmei: Elite α no Risei ga Genkai,Josei,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/271791l.jpg
15683,"Joli, e Chevalier",Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/16414l.jpg
15684,Kiri no Miyako no K.K,Shounen,Manga,Finished,,https://cdn.myanimelist.net/images/manga/2/239133l.jpg
15685,Heaven Eleven,Seinen,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/1/5684l.jpg
15686,Junjou Porno,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/2/150462l.jpg
15687,Akai Megami,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/262036l.jpg
15688,Wataru ga Pyun!,Shounen,Manga,Finished,58,https://cdn.myanimelist.net/images/manga/3/77597l.jpg
15689,Fantasista Doll: Prelude Kagami,Seinen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/148017l.jpg
15690,Kaze no Daichi,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/104011l.jpg
15691,Anton,Seinen,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/3/116311l.jpg
15692,Asahi Ojousama to Kashima-kun,Seinen,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/1/165146l.jpg
15693,Furuki Okite no Mahou Kishi,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/262299l.jpg
15694,Pretty Maniacs,Shounen,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/2/282478l.jpg
15695,Damena Hito,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/2/9242l.jpg
15696,Naze Nani Honey?,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/10568l.jpg
15697,Chouhatsu Lovers,Shoujo,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/3/156346l.jpg
15698,Happy Family,Josei,Manga,Finished,4,https://cdn.myanimelist.net/images/manga/1/263710l.jpg
15699,Ya-ya-yah ga Yattekuru!,Shoujo,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/2/30218l.jpg
15700,Amagoushi no Yakata,Shoujo,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/2/30435l.jpg
15701,Sprite Spiegel,Seinen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/34418l.jpg
15702,Berry Berry,Shoujo,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/3/261550l.jpg
15703,(Shiteki) Tantei Monogatari,Josei,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/2/43243l.jpg
15704,Yamada no Orochi,Shounen,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/2/51925l.jpg
15705,GB Park,Seinen,Manga,Finished,,https://cdn.myanimelist.net/images/manga/2/60559l.jpg
15706,Watashi wo Toraeru Ai no Wana,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/77231l.jpg
15707,My Heaven,Shoujo,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/1/111009l.jpg
15708,Flash! Kimengumi,Shounen,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/2/127365l.jpg
15709,Inferno,Shoujo,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/2/127967l.jpg
15710,Monte Cristo,Seinen,Manga,Finished,4,https://cdn.myanimelist.net/images/manga/1/167507l.jpg
15711,Buriki no Artist,Shounen,Manga,Finished,14,https://cdn.myanimelist.net/images/manga/3/151975l.jpg
15712,Dr. Ashura,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/168580l.jpg
15713,Concrete Revolutio: Choujin Gensou Gaiden - Mahou Shoujo Tenkagomen!,Shounen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/186665l.jpg
15714,Mist Gears Blast,Shounen,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/1/222143l.jpg
15715,Miemie no Omitto,Shounen,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/1/226412l.jpg
15716,Karikari Biyori,Shoujo,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/2/240048l.jpg
15717,Midoriyama Police Gang,Shounen,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/1/238737l.jpg
15718,Meitantei nanka ja Nai: Koukousei Tantei Battle Royale,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/249907l.jpg
15719,"Goodbye, Don Glees!",Josei,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/2/255931l.jpg
15720,Kidou Senshi Gundam: Aggressor,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/258477l.jpg
15721,Aramitama,Shounen,Manga,Finished,4,https://cdn.myanimelist.net/images/manga/3/175774l.jpg
15722,Mezamereba Ningyo Hime,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/6376l.jpg
15723,4 1/4,Josei,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/5/263714l.jpg
15724,Fushigi Hunter,Shounen,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/5/38650l.jpg
15725,Yu-kkuri Shite ne♥,Seinen,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/1/122797l.jpg
15726,Siren: Eternal Siren,Seinen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/129039l.jpg
15727,Zipang: Shinsou Kairyuu,Seinen,Manga,Finished,23,https://cdn.myanimelist.net/images/manga/1/129349l.jpg
15728,Koi bakkari no Sekai de Watashi wa Kimi to,Shoujo,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/2/225697l.jpg
15729,Marielle Clarac Series,Josei,LightNovel,Publishing,,https://cdn.myanimelist.net/images/manga/1/236843l.jpg
15730,Anata no Tame ni Watashi wa Tatakau.,Shounen,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/1/236013l.jpg
15731,Long Goodbye My Honey,Josei,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/249388l.jpg
15732,Mahou wo Shinjiru kai?,Shoujo,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/3/158668l.jpg
15733,Kono Koi ni Ichizu desu.,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/2/10857l.jpg
15734,Koibitotachi no Basho,Shoujo,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/2/252541l.jpg
15735,Young & Fine,Seinen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/36770l.jpg
15736,Aozora ni Tooku Sakebitari,Seinen,Manga,Finished,7,https://cdn.myanimelist.net/images/manga/1/160513l.jpg
15737,Heisei-ban Makoto-chan,Shounen,Manga,Finished,4,https://cdn.myanimelist.net/images/manga/3/42011l.jpg
15738,Kimi ga Boku wo Mite Ita kara,Josei,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/56233l.jpg
15739,Gut's,Shounen,Manga,Finished,17,https://cdn.myanimelist.net/images/manga/1/194913l.jpg
15740,Shinai Mijikashi Koiseyo Otome,Shounen,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/2/184370l.jpg
15741,Kiruto,Shounen,Manga,Finished,4,https://cdn.myanimelist.net/images/manga/2/134043l.jpg
15742,Private Actress Tokubetsu-hen,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/2/139353l.jpg
15743,Gifuu Doudou!!: Kaze no Gunshi Kuroda Kanbee,Seinen,Manga,Finished,10,https://cdn.myanimelist.net/images/manga/1/188578l.jpg
15744,PriPri Chii-chan!!,Shoujo,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/180508l.jpg
15745,Ramen Hakkenden,Seinen,Manga,Finished,26,https://cdn.myanimelist.net/images/manga/3/165955l.jpg
15746,Gifuu Doudou!!: Naoe Kanetsugu - Maeda Keiji Hanagatari,Seinen,Manga,Finished,14,https://cdn.myanimelist.net/images/manga/3/188579l.jpg
15747,Nijiiro no Trotsky,Shounen,Manga,Finished,8,https://cdn.myanimelist.net/images/manga/3/166517l.jpg
15748,Pretty Max,Seinen,Manga,Finished,10,https://cdn.myanimelist.net/images/manga/3/167503l.jpg
15749,J. Boy,Seinen,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/1/228827l.jpg
15750,Bocchi no Ningyohime,Seinen,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/3/177479l.jpg
15751,Alice no Rakuen,Josei,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/1/205493l.jpg
15752,Boku no Himejima-kun,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/238366l.jpg
15753,Yubikiribako,Josei,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/2/222577l.jpg
15754,1 Meter kara Hajimaru Koi,Shoujo,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/3/230794l.jpg
15755,Kidou Senshi Gundam SEED Eclipse,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/256392l.jpg
15756,Fire Ball!,Shounen,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/3/251678l.jpg
15757,Kocchi Muite yo Mukai-kun,Josei,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/260378l.jpg
15758,Kirakira to Giragira,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/274147l.jpg
15759,Dirty Pair Strikes Again,Seinen,LightNovel,Finished,1,https://cdn.myanimelist.net/images/manga/1/32532l.jpg
15760,Hyper Ultra Girlish,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/206416l.jpg
15761,Tenshi ni Kiss,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/22079l.jpg
15762,Double Hard,Shounen,Manga,Finished,30,https://cdn.myanimelist.net/images/manga/3/34702l.jpg
15763,Renai Bible,Seinen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/36818l.jpg
15764,Minna Daisuki Marutarou,Seinen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/2/40916l.jpg
15765,Café Kichijouji de - Niban Senji,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/57633l.jpg
15766,Shounen Ashibe,Seinen,Manga,Finished,8,https://cdn.myanimelist.net/images/manga/1/171460l.jpg
15767,Hatori-kun Chi no Yoru wa Himitsu,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/194358l.jpg
15768,Sabiiro no Armor,Josei,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/218853l.jpg
15769,Sono Dekiai ni wa Uso ga Aru.,Shoujo,Manga,Finished,,https://cdn.myanimelist.net/images/manga/3/263363l.jpg
15770,Kisarazu-kun no xx ga Mitai,Josei,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/270326l.jpg
15771,Okini Mesumama,Shoujo,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/3/29221l.jpg
15772,Made in Harem,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/268074l.jpg
15773,China Girl,Shoujo,Manga,Finished,12,https://cdn.myanimelist.net/images/manga/3/28514l.jpg
15774,Tengoku no Shitateya,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/261873l.jpg
15775,Kanojo no Hitorigurashi,Seinen,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/1/195796l.jpg
15776,Hanaori Soushi,Shoujo,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/1/46115l.jpg
15777,Shishunki - Sore wa Amaku Itai Koto,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/46403l.jpg
15778,Aries II: Yomigaeru Seizakyuu,Shoujo,Manga,Finished,10,https://cdn.myanimelist.net/images/manga/3/197252l.jpg
15779,Bem Hunter Sword,Seinen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/63483l.jpg
15780,Amatsu Sora Naru,Josei,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/2/80849l.jpg
15781,Kaoru-san no Kikyou,Josei,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/89593l.jpg
15782,Memento†Mori,Josei,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/3/155390l.jpg
15783,Fushigi na Ondo de,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/265056l.jpg
15784,Dragon Quest X: 4-koma Manga Gekijou,Seinen,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/3/109001l.jpg
15785,Basilisk no Michi,Josei,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/2/112413l.jpg
15786,Jitsuroku: Adachi Mitsuru Monogatari,Shounen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/148985l.jpg
15787,Virtual Red,Josei,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/2/149367l.jpg
15788,Kuroda-san to Katagiri-san,Seinen,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/2/152607l.jpg
15789,Police Station: Rashoumon,Seinen,Manga,Finished,9,https://cdn.myanimelist.net/images/manga/1/159861l.jpg
15790,Yuuwaku Flash,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/166011l.jpg
15791,8-jou no Carnival,Shounen,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/1/206828l.jpg
15792,Meitantei Conan: Tenkuu no Lost Ship,Shounen,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/2/252958l.jpg
15793,Love and Peace,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/279480l.jpg
15794,Chikita★Gugu,Shoujo,Manga,Finished,8,https://cdn.myanimelist.net/images/manga/1/244560l.jpg
15795,"Ore no Oyomesan, Hentai Kamoshirenai",Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/275232l.jpg
15796,Lunatix,Shoujo,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/3/31933l.jpg
15797,Saint,Shoujo,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/2/24857l.jpg
15798,12 Kounen no Motoko,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/28219l.jpg
15799,Bushin,Shounen,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/1/75605l.jpg
15800,Jekyll to Hyde to Saibanin,Seinen,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/2/255446l.jpg
15801,Dragon Seekers,Shounen,Manga,Finished,6,https://cdn.myanimelist.net/images/manga/2/193630l.jpg
15802,Scars,Shounen,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/3/243042l.jpg
15803,Yu☆Gi☆Oh! Rush Duel: Yarouze! Rush Duel!!,Shounen,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/3/234201l.jpg
15804,A Secretary's Love Story,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/6519l.jpg
15805,Atashi ni Tsuiterasshai,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/9976l.jpg
15806,Gadget,Shounen,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/3/156985l.jpg
15807,Kono Musume Urimasu!,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/2/262310l.jpg
15808,Kagerou Nostalgia: Shin Shou,Shounen,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/3/208722l.jpg
15809,Bus Guide Monogatari: Sakou Watari Shoki Kessakushuu,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/2/95975l.jpg
15810,Kigyou Senshi Yamazaki,Seinen,Manga,Finished,12,https://cdn.myanimelist.net/images/manga/1/29918l.jpg
15811,Suzume Suzunari,Seinen,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/1/141113l.jpg
15812,Ann wa Ann,Shoujo,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/3/34634l.jpg
15813,Sengoku!? - Yuukyuu Ransei Renge Tan,Shounen,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/3/37542l.jpg
15814,Okinimesu mama Goshujinsama,Seinen,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/3/175258l.jpg
15815,Joukyou Afro Tanaka,Seinen,Manga,Finished,10,https://cdn.myanimelist.net/images/manga/1/168995l.jpg
15816,Embryo,Seinen,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/1/71617l.jpg
15817,Sensei Sayounara,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/77487l.jpg
15818,Singles,Shoujo,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/2/152214l.jpg
15819,Kuroki Ayakashi no Gogogo,Shounen,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/1/124089l.jpg
15820,Eto☆Etosetora,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/133043l.jpg
15821,Oniichan no Koibito,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/146437l.jpg
15822,Kinnikuman Choujin Retsuden: Wolfman no Maki - Dohyojou no Mononofu,Seinen,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/3/148731l.jpg
15823,Yuubae Sakusen,Seinen,Manga,Finished,4,https://cdn.myanimelist.net/images/manga/2/151641l.jpg
15824,Underground,Josei,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/2/151304l.jpg
15825,Son Gokuu,Seinen,Manga,Finished,9,https://cdn.myanimelist.net/images/manga/2/167456l.jpg
15826,Yoru no Hana,Shoujo,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/2/228670l.jpg
15827,Wonder Honey,Shoujo,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/202085l.jpg
15828,Youkai Giga,Shounen,Manga,Finished,11,https://cdn.myanimelist.net/images/manga/1/201212l.jpg
15829,Midaregami,Seinen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/198561l.jpg
15830,Hanao,Seinen,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/2/227927l.jpg
15831,Champagne,Seinen,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/1/226845l.jpg
15832,Meitantei Conan: Zero no Shikkounin,Shounen,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/3/252959l.jpg
