Id,Title,DemographicType,Type,PublishingStatus,TotalVolumes,MainImageUrl
64,Sousou no Frieren,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/232121l.jpg
65,Kiseijuu,Seinen,Manga,Finished,10,https://cdn.myanimelist.net/images/manga/2/188928l.jpg
66,Real,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/115969l.jpg
67,Claymore,Shounen,Manga,Finished,27,https://cdn.myanimelist.net/images/manga/2/255378l.jpg
68,Orange,Shoujo,Manga,Finished,7,https://cdn.myanimelist.net/images/manga/2/153742l.jpg
69,3-gatsu no Lion,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/52283l.jpg
70,Bungou Stray Dogs,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/288894l.jpg
71,Tokyo Ghoul:re,Seinen,Manga,Finished,16,https://cdn.myanimelist.net/images/manga/3/145997l.jpg
72,Mushishi,Seinen,Manga,Finished,10,https://cdn.myanimelist.net/images/manga/2/159514l.jpg
73,Holyland,Seinen,Manga,Finished,18,https://cdn.myanimelist.net/images/manga/3/258962l.jpg
74,Homunculus,Seinen,Manga,Finished,15,https://cdn.myanimelist.net/images/manga/1/318l.jpg
75,Boku dake ga Inai Machi,Seinen,Manga,Finished,9,https://cdn.myanimelist.net/images/manga/1/172082l.jpg
76,JoJo no Kimyou na Bouken Part 6: Stone Ocean,Shounen,Manga,Finished,17,https://cdn.myanimelist.net/images/manga/2/255379l.jpg
77,Yokohama Kaidashi Kikou,Seinen,Manga,Finished,14,https://cdn.myanimelist.net/images/manga/1/171813l.jpg
78,Jigokuraku,Shounen,Manga,Finished,13,https://cdn.myanimelist.net/images/manga/2/208522l.jpg
79,Koe no Katachi,Shounen,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/5/86737l.jpg
80,Kimetsu no Yaiba,Shounen,Manga,Finished,23,https://cdn.myanimelist.net/images/manga/3/179023l.jpg
81,Ashita no Joe,Shounen,Manga,Finished,20,https://cdn.myanimelist.net/images/manga/1/268827l.jpg
82,Kimi no Na wa.,Seinen,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/1/182270l.jpg
83,D.Gray-man,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/240470l.jpg
